type,rho
brightness_adjustment,0.7016519720834277
brightness_adjustment,0.7928172625468638
brightness_adjustment,0.6841987380404846
brightness_adjustment,0.42762095892040236
brightness_adjustment,0.38229746477134086
brightness_adjustment,0.7773315527957895
brightness_adjustment,0.6618658613603364
brightness_adjustment,0.49515123998233745
brightness_adjustment,0.7408371049220096
brightness_adjustment,0.8719874564649356
brightness_adjustment,0.8761318957801962
brightness_adjustment,0.7669306376593531
brightness_adjustment,0.3136800226685664
brightness_adjustment,0.3484449091151056
brightness_adjustment,0.12879693160903583
brightness_adjustment,0.04688723335770404
brightness_adjustment,0.5153711308717474
brightness_adjustment,0.605248487784022
brightness_adjustment,0.7661498695647333
brightness_adjustment,0.6402247391471031
brightness_adjustment,0.14628946575975113
brightness_adjustment,0.3794582082111252
brightness_adjustment,0.60571822493693
brightness_adjustment,0.5161331867980091
brightness_adjustment,0.3965327882524164
brightness_adjustment,0.4598255884700298
brightness_adjustment,0.33247986452192335
brightness_adjustment,0.13116746465246673
brightness_adjustment,0.6882467323637919
brightness_adjustment,0.8268595408524659
brightness_adjustment,0.8407329833551205
brightness_adjustment,0.6500147665116481
brightness_adjustment,0.6467575085366825
brightness_adjustment,0.8275330648151463
brightness_adjustment,0.7492856586760323
brightness_adjustment,0.4492932737530272
brightness_adjustment,0.271359544865154
brightness_adjustment,0.6175548780119275
brightness_adjustment,0.6470546438687534
brightness_adjustment,0.31210459756860803
brightness_adjustment,0.5019649426828819
brightness_adjustment,0.653361209648368
brightness_adjustment,0.6302150334861822
brightness_adjustment,0.42430675503023096
brightness_adjustment,0.7808790086543633
brightness_adjustment,0.903757295484606
brightness_adjustment,0.9455867251790385
brightness_adjustment,0.7655660574501187
brightness_adjustment,0.5121830274534666
brightness_adjustment,0.7485426606620074
brightness_adjustment,0.7851109473502682
brightness_adjustment,0.574692392936648
brightness_adjustment,0.19201497812562918
brightness_adjustment,0.579739235540448
brightness_adjustment,0.8107624578599018
brightness_adjustment,0.7055734722359258
brightness_adjustment,0.8511463210683364
brightness_adjustment,0.8961388286348612
brightness_adjustment,0.9122179476770831
brightness_adjustment,0.4122896391178961
brightness_adjustment,0.6995809104032502
brightness_adjustment,0.8051782553728233
brightness_adjustment,0.7325348956153865
brightness_adjustment,0.3780401849120417
brightness_adjustment,0.818603774171662
brightness_adjustment,0.8704799282443341
brightness_adjustment,0.8862117453396423
brightness_adjustment,0.7946074887647044
brightness_adjustment,0.3752193547118915
brightness_adjustment,0.6926489541419149
brightness_adjustment,0.7224641970008591
brightness_adjustment,0.6219298827424908
brightness_adjustment,0.5720438440411985
brightness_adjustment,0.793103293175782
brightness_adjustment,0.8343034798802409
brightness_adjustment,0.6719246499513413
brightness_adjustment,0.7523193939392012
brightness_adjustment,0.8510649166536934
brightness_adjustment,0.8479791866329656
brightness_adjustment,0.7592570250230571
brightness_adjustment,0.7760350727833509
brightness_adjustment,0.8563212567868222
brightness_adjustment,0.8763227548404542
brightness_adjustment,0.7212975406468363
brightness_adjustment,0.8134602773167569
brightness_adjustment,0.9077537321953969
brightness_adjustment,0.8959215197859923
brightness_adjustment,0.7901958074814542
brightness_adjustment,0.6851198821253532
brightness_adjustment,0.7403344854580846
brightness_adjustment,0.6801580454626873
brightness_adjustment,0.6405170615263799
brightness_adjustment,0.5884259048716636
brightness_adjustment,0.7433199808975424
brightness_adjustment,0.7763376272294694
brightness_adjustment,0.4807258626849658
brightness_adjustment,0.4234709795133745
brightness_adjustment,0.7797949352867498
brightness_adjustment,0.8319026777434957
brightness_adjustment,0.5936005624086388
brightness_adjustment,0.7216975205376661
brightness_adjustment,0.9522634660098356
brightness_adjustment,0.9429289943027053
brightness_adjustment,0.9169101317490366
brightness_adjustment,0.7810007872712011
brightness_adjustment,0.9109509675166437
brightness_adjustment,0.8781968305891077
brightness_adjustment,0.8265696440974344
brightness_adjustment,0.7726658592959632
brightness_adjustment,0.8496600752414204
brightness_adjustment,0.8533722294476468
