rho,label
0.7406223153078606,0
0.5724546048852185,0
0.5935495147133699,0
0.37270788110332426,0
0.825890960580553,0
0.4858599561661756,0
0.6674641770343337,0
0.6547034827986754,0
0.5956993900201574,0
0.70403514640736,0
0.5627154657476912,0
0.23056399416631357,0
0.4406281057123636,0
0.2996602262315279,0
0.7129467055841447,0
0.38304456717366,0
0.4900277970113897,0
0.5976964829619176,0
0.29254995207066126,0
0.695344881326962,0
0.7037071454093276,0
0.38323758603469116,0
0.6050175212270772,0
0.4432349289995615,0
0.8155845259637633,0
0.6128654903399913,0
0.7211526171354737,0
0.679697368684327,0
0.4301096980889706,0
0.7545527435290702,0
0.6634322535333248,0
0.5021696188678806,0
0.6746574295342562,0
0.5141487251144848,0
0.7924441819048891,0
0.5424089864620972,0
0.5285264124701605,0
0.671119576165773,0
0.6108963498544117,0
0.6933156712077895,0
0.5695273175120931,0
0.2889692202762728,0
0.5193784917358586,0
0.5194662349967194,0
0.651661083675011,0
0.4550621088880072,0
0.39058449988740784,0
0.550894645489172,0
0.5154491504957315,0
0.6372109813106674,0
0.47823212936425147,0
0.5333230071534089,0
0.567611859206481,0
0.4807494850779928,0
0.5327139277127728,0
0.44060990539738026,0
0.5562827104856177,0
0.550019457822231,0
0.5714657709350833,0
0.5099095387873599,0
0.4667949061927982,0
0.018597692835343307,0
0.3774911861200497,0
0.6008194939885316,0
0.48892643535165503,0
0.5178761358014863,0
0.41956099456762136,0
0.6416195038533107,0
0.27131033666101567,0
0.6446786374515612,0
0.5356863402058127,0
0.3533373028872289,0
0.4029105925057425,0
0.4338299474584749,0
0.5462561764483269,0
0.47219322988260476,0
0.46468377623425383,0
0.6333569769920813,0
0.39568668573673565,0
0.5846801136282248,0
0.6249389800158256,0
0.3934036019757423,0
0.5337278602059705,0
0.4095356562889327,0
0.7424444315190125,0
0.45792952531807,0
0.6113222113942421,0
0.5004725300491141,0
0.4600139013969278,0
0.690024096896464,0
0.43447180257096363,0
0.028025669239071353,0
0.4267816820880705,0
0.34832168765019744,0
0.5386837428026537,0
0.46359210579320703,0
0.42556530968558887,0
0.4950655714286507,0
0.17858761838214965,0
0.5627640855192324,0
0.5782017927407298,0
0.40586551585303354,0
0.6122214407556462,0
0.45190692031838686,0
0.64597355161857,0
0.4784309710308146,0
0.45742840838094084,0
0.6967951040634205,0
0.5842901921365968,0
0.6481430943801408,0
0.5745555797711541,0
0.2950923359485181,0
0.603875455514058,0
0.5163414173278005,0
0.6611201794649806,0
0.718478327114001,0
0.5628482852973977,0
0.7518706502580775,0
0.3018829952226875,0
0.7265982729359204,0
0.6518515949813096,0
0.31240499350136547,0
0.6925243018236897,0
0.4589156209963987,0
0.8167754780010943,0
0.6242181824438052,0
0.7066682103487696,0
0.7375770183820969,0
0.4415731221512018,0
0.7669766687939369,0
0.7494101185209363,0
0.5334384771631089,0
0.6434010677658316,0
0.4997890229834054,0
0.8191207102366804,0
0.6332499714685282,0
0.6634045127927267,0
0.6846139842811338,0
0.4600201958910441,0
0.8066680683221825,0
0.6393781039302497,0
0.39219825693125077,0
0.6390645576161512,0
0.30511675677642375,0
0.7434212313718723,0
0.5327663093123723,0
0.5297472594835837,0
0.6330197527650491,0
0.4705120113035169,0
0.6644005459890644,0
0.563441244194578,0
0.619119832881273,0
0.5253586163554068,0
0.43191779800805224,0
0.6301565465116646,0
0.45175732351963105,0
0.4003018737016356,0
0.5314907200182903,0
0.5456053677743335,0
0.6318385665233373,0
0.4483688556117559,0
0.32389833407647456,0
0.384517345158793,0
0.4338023799825186,0
0.5459810993862629,0
0.3272597156190383,0
0.49687046347371105,0
0.4562160966073494,0
0.4479536000873176,0
0.49244208384539706,0
0.7039660999370443,0
0.5369642501990828,0
0.5681572403805843,0
0.41551757978988746,0
0.722064058990726,0
0.5012914279307303,0
0.6853825841620758,0
0.46731722505714696,0
0.555470823204439,0
0.6349698486097488,0
